CompanyName,BusinessId,City,CompanyForm,Address,RegistrationDate
Kaamil shop Oy,2988750-6,Helsinki,Osakeyhtiö (OY),"ormusmäentie, 7, 00700, HELSINGFORS",2020-03-11
Gasonia Oy,3010420-6,Helsinki,Osakeyhtiö (OY),"Mannerheimintie, 20, 00100, HELSINGFORS",2020-01-01
Grahn Vahinkosaneeraus Oy,3012255-1,Helsinki,Osakeyhtiö (OY),"Olympiaranta, 3, 00140, HELSINGFORS",2020-01-01
Holmström Holding Oy,3014393-4,Helsinki,Osakeyhtiö (OY),"00941, HELSINGFORS",2020-01-01
Aureka Oy,3014394-2,Helsinki,Osakeyhtiö (OY),"Ounasvaarantie, 1, 00970, HELSINGFORS",2020-01-01
Sato-JoustoKoti Oy,3015548-4,Helsinki,Osakeyhtiö (OY),"Panuntie, 4, 00610, HELSINGFORS",2020-01-01
Sato-Hallintopalvelut Oy,3015550-5,Helsinki,Osakeyhtiö (OY),"Panuntie, 4, 00610, HELSINGFORS",2020-01-01
Sato-Rakennuttajat Oy,3015551-3,Helsinki,Osakeyhtiö (OY),"Panuntie, 4, 00610, HELSINGFORS",2020-01-01
Serena Properties Sipoo Holding Oy,3019613-9,Helsinki,Osakeyhtiö (OY),"Mikonkatu, 8, 00100, HELSINGFORS",2020-01-01
Serena Properties Pori Holding Oy,3019625-1,Helsinki,Osakeyhtiö (OY),"Mikonkatu, 8, 00100, HELSINGFORS",2020-01-01
Serena Properties Heinola Holding Oy,3019627-8,Helsinki,Osakeyhtiö (OY),"Mikonkatu, 8, 00100, HELSINGFORS",2020-01-01
Serena Properties Palokka Holding Oy,3019629-4,Helsinki,Osakeyhtiö (OY),"Mikonkatu, 8, 00100, HELSINGFORS",2020-01-01
Serena Properties Lappeenranta Holding Oy,3019631-5,Helsinki,Osakeyhtiö (OY),"Mikonkatu, 8, 00100, HELSINGFORS",2020-01-01
Serena Properties Joensuu Holding Oy,3019632-3,Helsinki,Osakeyhtiö (OY),"Mikonkatu, 8, 00100, HELSINGFORS",2020-01-01
Aktorus Asunnot Oy,3020958-5,Helsinki,Osakeyhtiö (OY),"Myllytie, 3, 00140, HELSINGFORS",2020-02-06
Autohaus Helsinki Oy,3085728-3,Helsinki,Osakeyhtiö (OY),"Jokiniementie, 4, 00650, HELSINGFORS",2020-01-08
Aurio Hoiva Oy,3086747-3,Helsinki,Osakeyhtiö (OY),"00181, HELSINGFORS",2020-02-01
Bird & Bird Asianajotoimisto Oy,3090305-9,Helsinki,Osakeyhtiö (OY),"Mannerheimintie, 8, 00100, HELSINGFORS",2020-02-01
Bird & Bird Finance Oy,3090307-5,Helsinki,Osakeyhtiö (OY),"Mannerheimintie, 8, 00100, HELSINGFORS",2020-02-01
Puistola Expres Oy,3092312-1,Helsinki,Osakeyhtiö (OY),"Puistolan Asema Ajurinaukio, 00750, HELSINGFORS",2020-02-19
Wytsky Clouding Solutions Oy,3092627-7,Helsinki,Osakeyhtiö (OY),"Roihuvuorentie, 21, 00820, HELSINGFORS",2020-01-27
Suomen Ostondeeros Oy,3092964-6,Helsinki,Osakeyhtiö (OY),"Lyhtytie, 24, 00750, HELSINGFORS",2020-01-01
Traficon Oy,3094368-3,Helsinki,Osakeyhtiö (OY),"Itälahdenkatu, 18, 00210, HELSINGFORS",2020-04-01
Extraf Oy,3094383-5,Helsinki,Osakeyhtiö (OY),"Itälahdenkatu, 18, 00210, HELSINGFORS",2020-04-01
Amos Partners Oy,3094865-2,Helsinki,Osakeyhtiö (OY),"Prikitie, 1, 00850, HELSINGFORS",2020-02-29
Taito Capital Oy,3094867-9,Helsinki,Osakeyhtiö (OY),"Prikitie, 1, 00850, HELSINGFORS",2020-02-29
ART Fortuna Oy,3096396-7,Helsinki,Osakeyhtiö (OY),"Pukinmäenaukio, 4, 00720, HELSINGFORS",2020-01-16
Amate Solutions Oy,3096855-7,Helsinki,Osakeyhtiö (OY),"Hiihtomäentie, 38, 00800, HELSINGFORS",2020-03-16
RBF International Oy,3098580-8,Helsinki,Osakeyhtiö (OY),"Kirkkoherrantie, 4, 00650, HELSINGFORS",2020-01-01
Mycotech Oy,3098948-9,Helsinki,Osakeyhtiö (OY),"Kaisaniemenkatu, 7, 00100, HELSINGFORS",2020-02-27
JanBar lnvest Oy,3099029-5,Helsinki,Osakeyhtiö (OY),"Eino Leinon katu, 12, 00250, HELSINGFORS",2020-03-31
DSL Suomi Oy,3099286-4,Helsinki,Osakeyhtiö (OY),"Välimerenkatu, 3, 00220, HELSINGFORS",2020-01-07
Aquavesi Oy,3099380-8,Helsinki,Osakeyhtiö (OY),"Unikkotie, 3, 00720, HELSINGFORS",2020-02-20
AURORA CREATIVE OY,3099594-2,Helsinki,Osakeyhtiö (OY),"Agricolankatu, 2, 00530, HELSINGFORS",2020-01-07
Doctores Oy,3099688-1,Helsinki,Osakeyhtiö (OY),"Hämeentie, 35, 00500, HELSINGFORS",2020-01-17
Viestintätoimisto Tremolo oy,3099981-2,Helsinki,Osakeyhtiö (OY),"Mäntytie, 13, 00270, HELSINGFORS",2020-01-07
Mainioasunnot Oy,3100092-7,Helsinki,Osakeyhtiö (OY),"Eerikinkatu, 48, 00180, HELSINGFORS",2020-04-30
Bahiwera B Oy,3100097-8,Helsinki,Osakeyhtiö (OY),"Mikonkatu, 9, 00100, HELSINGFORS",2020-03-31
NSF II Fin HotelCo Oy,3100257-8,Helsinki,Osakeyhtiö (OY),"00131, HELSINGFORS",2020-01-24
NSF II Fin ParkingCo Oy,3100260-7,Helsinki,Osakeyhtiö (OY),"00131, HELSINGFORS",2020-01-24
Swing Street Advisors Oy,3100312-4,Helsinki,Osakeyhtiö (OY),"Kurkisuontie, 14, 00940, HELSINGFORS",2020-01-10
SR Martech Ltd. Oy,3100388-8,Helsinki,Osakeyhtiö (OY),"Köydenpunojankatu, 7, 00180, HELSINGFORS",2020-02-24
Nordic Ventures Finland Oy,3100391-7,Helsinki,Osakeyhtiö (OY),"Merikannontie, 5, 00260, HELSINGFORS",2020-04-30
Hemmi Oy,3100394-1,Helsinki,Osakeyhtiö (OY),"Merikannontie, 5, 00260, HELSINGFORS",2020-04-30
Untold Oy,3100557-6,Helsinki,Osakeyhtiö (OY),"Muukalaiskatu, 2, 00140, HELSINGFORS",2020-07-20
Kiinalaisen lääketieteen Akatemia Oy,3100807-2,Helsinki,Osakeyhtiö (OY),"Föglönkuja, 4, 00590, HELSINGFORS",2020-08-04
FOUR DOWN DISTRIBUTION OY,3101432-5,Helsinki,Osakeyhtiö (OY),"Fredrikinkatu, 31, 00120, HELSINGFORS",2020-01-02
Aleksi ja Sini Tapani Oy,3101440-5,Helsinki,Osakeyhtiö (OY),"Tunnelitie, 5, 00320, HELSINGFORS",2020-01-01
Ilmakunnas Capital Oy,3101629-1,Helsinki,Osakeyhtiö (OY),"Punavuorenkatu, 26, 00150, HELSINGFORS",2020-06-30
Valokuitu Kotiin Holding 1 Oy,3101702-4,Helsinki,Osakeyhtiö (OY),"Valimotie, 21, 00380, HELSINGFORS",2020-01-03
Hansa General Company Oy,3101899-1,Helsinki,Osakeyhtiö (OY),"Merikasarminkatu, 12, 00160, HELSINGFORS",2020-01-16
Boing Solutions Oy,3101950-5,Helsinki,Osakeyhtiö (OY),"Luoteisväylä, 23, 00200, HELSINGFORS",2020-01-08
JTW Rakennus Oy,3101969-5,Helsinki,Osakeyhtiö (OY),"Tuhkimontie, 12, 00820, HELSINGFORS",2020-02-03
Noord Agency Oy,3102220-2,Helsinki,Osakeyhtiö (OY),"Kolmas Linja, 29, 00530, HELSINGFORS",2020-01-02
Eco Ladies Oy,3102275-5,Helsinki,Osakeyhtiö (OY),"Merimiehenkatu, 24, 00150, HELSINGFORS",2020-01-07
FlipGoup Oy,3102564-9,Helsinki,Osakeyhtiö (OY),"Ounasvaarantie, 1, 00970, HELSINGFORS",2020-01-27
Riikantorppa Oy,3102565-7,Helsinki,Osakeyhtiö (OY),"Mannerheimintie, 18, 00100, HELSINGFORS",2020-05-14
Heikintorppa Oy,3102568-1,Helsinki,Osakeyhtiö (OY),"Mannerheimintie, 18, 00100, HELSINGFORS",2020-05-14
Vahvapeite Oy,3102859-1,Helsinki,Osakeyhtiö (OY),"Hämeentie, 157, 00560, HELSINGFORS",2020-01-23
